"","Rh103Di<BC103>","Pd104Di<BC104>","Pd105Di<BC105>","Pd106Di<BC106>","Pd108Di<BC108>","Pd110Di<BC110>","Cd112Di<CD19>","In113Di<BC113>","Cd114Di<CD19>","In115Di<Blank>","La139Di<CD45>","Ce140Di<Blank>","Pr141Di<CD43>","Nd142Di<MHCII>","Nd143Di<B220>","Nd144Di<CD11a>","Nd145Di<Ly6GC>","Nd146Di<CD8>","Pm147Di<Ly6G>","Nd148Di<Ly6C>","Sm149Di<CD4>","Nd150Di<CD127>","Eu151Di<CD62L>","Sm152Di<CD11c>","Eu153Di<CD11b>","Sm154Di<CD3>","Gd155Di<CD86>","Gd156Di<BST2>","Gd157Di<CD27>","Gd158Di<Ter119>","Tb159Di<F4_80>","Gd160Di<FcER1>","Dy161Di<CD25>","Dy162Di<PDL1>","Dy163Di<PDL2>","Dy164Di<CD103>","Ho165Di<CD64>","Er166Di<CD48>","Er167Di<CD49b>","Er168Di<CD44>","Tm169Di<CD115>","Er170Di<CD38>","Yb171Di<MerTK>","Yb172Di<Sca-1>","Yb173Di<CD172>","Yb174Di<CD24>","Lu175Di<Siglec_F>","Lu176Di<CD90>","Ir191Di<DNA>","Ir193Di<DNA>","Pt195Di<Cisplatin>","Length<NA>"
"CD45+CD3-CD90-CD19- M1_15357",2.78519272144018,4.0544073855555,3.70920197903403,3.77011635339334,1.13762253156046,2.5641931943947,0.921556186538351,0.708686146047899,3.95749747442844,0.701527689710318,3.64860666534201,1.01584794203881,3.74662649116148,2.55569257406814,3.48865451986055,3.89000074130269,2.95059616012359,3.13853703246827,2.18789904361621,3.52763721033138,2.92714096841555,3.89889546675014,1.59287465053575,3.19222400680517,1.99667506939594,4.25773970930434,2.74233312367722,3.90019741350128,3.39186326630333,1.30940470547472,1.31116602870016,2.92537733238506,1.56901166494301,2.04769321297447,0.966308497288587,2.16805164395342,1.17000694682604,3.34180873309123,1.94676296884032,3.17936396732593,0.984297864972773,3.15087899878273,1.03046039041026,2.27766503012971,2.01452323673074,1.32939534284254,0.619880137272909,3.90659572437593,4.31415219187462,4.35816014891204,4.13000645987971,4.36294964556488
"CD45+CD3-CD90-CD19- M1_21496",2.88321833474932,4.00436227936112,4.05755932065138,3.74016789468089,3.27171276690619,3.85072784756755,3.27341459415938,2.82087341717851,4.22871387658783,1.89482866758574,2.73527390788208,0.759708427423184,3.62309665290105,1.64886200734013,3.22595020056377,3.76617969455497,4.12341243375876,2.96477169962571,3.92861497489292,3.07083802940719,0.855833468925594,3.51348990000417,3.49804903760261,1.55925721893473,3.862357988238,3.01901013544564,2.37257171963538,2.14487587976412,2.59010517985556,2.40241333583721,2.05624685388875,2.314385945083,3.22588470603649,2.10039247934851,0.976328753745855,0.264480485249975,0.796867776625506,2.57360623178892,3.27521287267088,3.66021980836324,1.63048778706701,0.693486683558783,1.35214078289666,2.3198171402978,3.39717481910229,2.15106282364573,0.352137641307149,4.26863429270697,4.21209126600211,4.19928807950781,3.77386166384937,4.45024271629555
"CD45+CD3-CD90-CD19- M1_33776",2.83458656126265,4.1099506717172,3.75835459820395,3.31528546221587,0.225224393729885,4.07564950306883,3.31419723148427,4.11372249457588,3.58770235822013,0.0707822892571029,3.50489047945404,0.459885462317333,3.35018412500977,2.47429664712459,0.195817447456422,3.95248233213273,1.29712930029322,2.58529800711022,0.668670212335608,2.33726037576936,0.498893540116808,1.04861886903761,2.55674345451916,3.66420649619153,2.28395823140659,0.108070234260822,1.42789666642444,1.74110165735107,2.32437124350941,0.409277299352513,2.7351461684635,1.97492379985944,0.321069534075561,3.17981183675114,0.383073114261614,2.21060339950046,3.20329996864049,2.37882728157169,1.18041420655224,3.26167874437798,1.18460176784968,1.18374039351437,2.66798972087587,0.537908313198219,3.34566397451691,1.75904836257707,2.74074726230896,1.73781580362558,4.31845973483206,4.42249600753847,4.39637869737769,4.29363827064359
"CD45+CD3-CD90-CD19- M1_12308",2.98540828793799,4.08053812482158,3.84660603325051,3.54532778626105,3.57458991369415,2.92439702416815,2.50862070660741,0.685296404080481,0.556981593347555,0.52650636561369,3.28721390312246,0.697589309773403,3.69306403969733,1.83205107145159,2.82696908836707,3.85712188393143,3.95551672004403,3.09756413457927,3.90013422027597,3.04215664275713,1.00151975430198,3.82168853295756,2.6677606831174,1.32044215518245,4.06886104408473,3.95340340448059,2.72231924048136,1.8441770042758,1.23285056067229,2.05081414422759,2.16311367083864,2.82018843108609,3.23809906043844,1.26511518969471,1.28052264926361,1.57647495464093,1.34668507496409,2.11222428545993,1.76797208639563,3.15741519691242,0.664146778315805,2.68072957147654,1.47870987986867,1.60847184134114,3.46184114722707,2.17796238680857,2.71518506690846,2.50603833294413,4.2163785691066,4.13416488393721,4.05526374667755,4.436858662964
"CD45+CD3-CD90-CD19- M1_5520",2.16364199178466,3.55194211016781,2.93421428218225,3.44663902697626,1.22356959137316,3.59596939107036,3.00409033771626,0.979122074765949,3.80752348635029,0.98940946817165,3.52861179440839,0.830283238404364,3.63293712719419,1.81323086612103,3.355792900841,3.81219452744862,1.27815304162072,3.00402574328597,1.86164606132714,2.86911319066165,2.63701842842432,4.07238686491679,2.56877219313295,2.73666966512121,2.65706310172006,4.20371295374507,2.00508047159618,1.91446753136474,0.681943712709638,2.47505237061768,0.803369704543077,2.45470759667564,2.14375110531704,2.73765503746753,0.68543662529222,1.3544174013531,1.31852264707421,3.12998031891666,3.56625600532847,2.36669074092871,0.593177449191449,3.21681206981521,1.34296251821474,2.15825571715234,1.88948214569394,0.803059929912114,0.638178091697741,4.27510939275602,4.32276801917815,4.19385701412652,4.02497316836168,4.23287126997388
"CD45+CD3-CD90-CD19- M1_36134",2.56365126948529,4.07618209793353,4.14348896165071,3.90178403730152,1.6522885349922,1.92612847148563,3.54658386731857,0.627615828190087,0.581581766105591,1.28255140169518,2.88523708105436,3.60661576498516,3.15941487043121,2.3773316839889,2.60313601785531,3.66979359839771,3.83156178486088,3.04978469494991,4.19497230540012,2.42497352438518,0.462449633196138,0.715402322872568,2.63138426929292,2.48103185782591,3.89530921051186,4.11583658645812,2.61391868301518,2.41583924287018,1.32424643052793,1.96274156441219,2.10927411554689,1.22616381162148,2.35720957453768,2.49531605384648,1.20283475586125,1.94630992609533,2.05586845337022,2.28821413244759,2.24319784728744,3.1168119976586,0.619636882291404,2.73390542992259,1.76098349871743,0.407600330513854,3.19659310118544,2.301670012457,1.60262580169424,4.11438625473905,3.95579358314576,4.24819888224353,3.71589959630755,4.32988732431782
"CD45+CD3-CD90-CD19- M1_25915",3.08009832025121,4.14810086909359,3.73433880811444,1.69990776538104,4.02338054861284,2.82413818295006,1.39610615819204,0.491849304931081,3.63300234292343,1.13170787328894,2.89760030126441,0.311590814236774,3.38978065931976,2.07605178401822,1.13294986052697,3.86698508921235,4.26282278553612,2.72785045776636,4.2103266087697,3.07304300983323,1.95009451460934,3.58726694941149,3.22265816401571,0.684351522470552,4.0611717688329,4.22254150438931,1.30764101865704,1.73822429067953,1.09585898588962,1.79285088319412,1.63462019548406,1.99561377843873,0.239179249008254,1.06676042657307,1.2588394787305,0.916041156969571,0.808784269511918,2.30702917612468,1.27499735338554,3.36376386024802,0.573788298711513,2.39427170525614,0.870154432383829,1.68188971405024,3.46074507181667,2.56684381354858,1.28119866692585,2.14272179966833,4.16178763259273,4.18734069282465,3.67086880327175,4.45024271629555
"CD45+CD3-CD90-CD19- M1_29845",2.95610802997838,3.98588114311423,3.88903592950487,3.55589286316087,3.39827230682754,3.87348650767344,3.61453383580824,0.266857093080729,1.15343175180535,0.188220769832242,2.53689709988839,0.365823011094442,2.94798739288974,1.37725591160417,0.287802468129416,3.82972618828799,4.02683670113017,3.04310162102254,4.2180040998548,2.64126374286441,2.95340881405249,3.56717328848237,0.432144378447623,1.88573229790837,3.83489913950707,4.18813071487291,2.83653527502654,2.1030023408765,1.89092727552167,2.31266337207382,2.14407786617002,2.95366870236133,3.79644009866962,1.49686406252974,2.15462267149652,1.48526666340313,0.357546229819601,1.99806072415324,2.30849259653909,3.38242627677486,0.813177193535343,2.4477658051595,0.246909078250343,2.40707639337636,3.39717481910229,1.76991787749581,1.65344909090216,3.44360971457052,4.20459076259297,4.28518879970745,4.42581282429184,4.32988732431782
"CD45+CD3-CD90-CD19- M1_924",3.07165163089781,4.23757194900482,4.14022466765653,3.84934405154422,3.1748447658387,0.830316486919307,3.16516067640664,1.29985415169796,3.54400521558735,0.641248339296571,2.69195181060189,0.742765597033565,3.15268978325629,2.19905127839528,3.12013147632543,3.56467694929709,4.00379345603946,2.93321713614099,3.91766040425279,2.55230754426308,2.57087238959339,2.17343016219348,2.95098223387736,2.32528323395958,3.7525253702099,3.64830336161164,1.76829127570088,2.29419239831497,1.75881655115964,1.86183110983902,1.76667771039678,2.14144278009809,2.95989730562122,2.92633137203632,0.673520219797275,1.84162244092245,2.01496154365477,2.49446558200929,2.8949341952531,3.24850766084415,3.14689470654402,2.97347359249219,1.26359709047003,2.38473384451912,3.43115124142723,2.18355852417947,1.78696048542373,3.74383622201881,4.36265523782751,4.3156720770545,3.87173179902026,4.3121408855911
"CD45+CD3-CD90-CD19- M1_11936",3.01058478120196,3.72057521314251,3.57510761023802,2.62810143260606,2.40878244102609,3.59100495438609,3.94132615696925,3.599876568104,3.573466557584,1.55048405074349,2.98149511540209,1.66300839600435,4.26645515016949,1.9318355334286,1.20183426607542,4.21352193557916,0.75706670143386,3.02749063626933,1.37352564146628,2.47422224738425,0.465012078631294,3.02585258832513,2.58510728633346,3.34369008315632,3.74483739264966,3.32971171569223,2.32538898427108,1.47168034772309,2.93141708797559,1.09593628451731,2.24229514708083,3.40527450597169,1.25484569968966,3.49247278207374,2.11386682176319,1.29904236240994,1.31538561921192,2.90395480099392,2.32323457687207,2.27159752061994,0.953873244168618,2.00512295706882,0.480057736996464,1.53194462443574,3.67015235173536,1.12931775875841,0.661975418946597,3.02760010281616,4.10736327692675,4.23623782991031,4.38003226315695,4.25408581931871
