"","x"
"CD45+CD3-CD90-CD19- M1_10799",2
"CD45+CD3-CD90-CD19- M1_29601",7
"CD45+CD3-CD90-CD19- M1_15357",3
"CD45+CD3-CD90-CD19- M1_33156",5
"CD45+CD3-CD90-CD19- M1_35312",1
"CD45+CD3-CD90-CD19- M1_1711",2
"CD45+CD3-CD90-CD19- M1_19828",5
"CD45+CD3-CD90-CD19- M1_33505",4
"CD45+CD3-CD90-CD19- M1_20703",7
"CD45+CD3-CD90-CD19- M1_17143",5
"CD45+CD3-CD90-CD19- M1_35921",6
"CD45+CD3-CD90-CD19- M1_17019",5
"CD45+CD3-CD90-CD19- M1_25436",7
"CD45+CD3-CD90-CD19- M1_21496",3
"CD45+CD3-CD90-CD19- M1_3864",6
"CD45+CD3-CD90-CD19- M1_33776",3
"CD45+CD3-CD90-CD19- M1_9237",2
"CD45+CD3-CD90-CD19- M1_1579",7
"CD45+CD3-CD90-CD19- M1_12308",3
"CD45+CD3-CD90-CD19- M1_35825",6
"CD45+CD3-CD90-CD19- M1_33386",6
"CD45+CD3-CD90-CD19- M1_26001",5
"CD45+CD3-CD90-CD19- M1_24038",7
"CD45+CD3-CD90-CD19- M1_37313",1
"CD45+CD3-CD90-CD19- M1_24607",2
"CD45+CD3-CD90-CD19- M1_26589",4
"CD45+CD3-CD90-CD19- M1_20417",7
"CD45+CD3-CD90-CD19- M1_22295",4
"CD45+CD3-CD90-CD19- M1_10851",5
"CD45+CD3-CD90-CD19- M1_5520",3
"CD45+CD3-CD90-CD19- M1_36134",3
"CD45+CD3-CD90-CD19- M1_33855",1
"CD45+CD3-CD90-CD19- M1_25915",3
"CD45+CD3-CD90-CD19- M1_29845",3
"CD45+CD3-CD90-CD19- M1_924",3
"CD45+CD3-CD90-CD19- M1_17925",1
"CD45+CD3-CD90-CD19- M1_28454",5
"CD45+CD3-CD90-CD19- M1_8119",5
"CD45+CD3-CD90-CD19- M1_11936",3
"CD45+CD3-CD90-CD19- M1_8689",3
"CD45+CD3-CD90-CD19- M1_5357",2
"CD45+CD3-CD90-CD19- M1_15550",3
"CD45+CD3-CD90-CD19- M1_15519",4
"CD45+CD3-CD90-CD19- M1_13835",7
"CD45+CD3-CD90-CD19- M1_5718",4
"CD45+CD3-CD90-CD19- M1_5207",1
"CD45+CD3-CD90-CD19- M1_8740",3
"CD45+CD3-CD90-CD19- M1_17476",1
"CD45+CD3-CD90-CD19- M1_9975",6
"CD45+CD3-CD90-CD19- M1_32171",1
"CD45+CD3-CD90-CD19- M1_1719",4
"CD45+CD3-CD90-CD19- M1_16583",2
"CD45+CD3-CD90-CD19- M1_29959",2
"CD45+CD3-CD90-CD19- M1_4571",6
"CD45+CD3-CD90-CD19- M1_21034",7
"CD45+CD3-CD90-CD19- M1_7745",1
"CD45+CD3-CD90-CD19- M1_4782",3
"CD45+CD3-CD90-CD19- M1_28245",4
"CD45+CD3-CD90-CD19- M1_33558",1
"CD45+CD3-CD90-CD19- M1_14040",2
"CD45+CD3-CD90-CD19- M1_24936",6
"CD45+CD3-CD90-CD19- M1_3556",1
"CD45+CD3-CD90-CD19- M1_14395",7
"CD45+CD3-CD90-CD19- M1_10287",4
"CD45+CD3-CD90-CD19- M1_30539",3
"CD45+CD3-CD90-CD19- M1_16814",7
"CD45+CD3-CD90-CD19- M1_30366",6
"CD45+CD3-CD90-CD19- M1_30452",2
"CD45+CD3-CD90-CD19- M1_29775",2
"CD45+CD3-CD90-CD19- M1_16486",4
"CD45+CD3-CD90-CD19- M1_28279",1
"CD45+CD3-CD90-CD19- M1_23584",6
"CD45+CD3-CD90-CD19- M1_26617",2
"CD45+CD3-CD90-CD19- M1_24",3
"CD45+CD3-CD90-CD19- M1_17814",4
"CD45+CD3-CD90-CD19- M1_8250",4
"CD45+CD3-CD90-CD19- M1_14234",2
"CD45+CD3-CD90-CD19- M1_22963",4
"CD45+CD3-CD90-CD19- M1_13183",4
"CD45+CD3-CD90-CD19- M1_4165",6
"CD45+CD3-CD90-CD19- M1_9129",7
"CD45+CD3-CD90-CD19- M1_25033",3
"CD45+CD3-CD90-CD19- M1_15649",2
"CD45+CD3-CD90-CD19- M1_29533",7
"CD45+CD3-CD90-CD19- M1_3855",2
"CD45+CD3-CD90-CD19- M1_16294",2
"CD45+CD3-CD90-CD19- M1_36902",6
"CD45+CD3-CD90-CD19- M1_33458",2
"CD45+CD3-CD90-CD19- M1_33210",5
"CD45+CD3-CD90-CD19- M1_6558",3
"CD45+CD3-CD90-CD19- M1_4896",3
"CD45+CD3-CD90-CD19- M1_24466",2
"CD45+CD3-CD90-CD19- M1_12868",1
"CD45+CD3-CD90-CD19- M1_24601",3
"CD45+CD3-CD90-CD19- M1_12001",5
"CD45+CD3-CD90-CD19- M1_7031",7
"CD45+CD3-CD90-CD19- M1_29301",7
"CD45+CD3-CD90-CD19- M1_3506",3
