"","Rh103Di<BC103>","Pd104Di<BC104>","Pd105Di<BC105>","Pd106Di<BC106>","Pd108Di<BC108>","Pd110Di<BC110>","Cd112Di<CD19>","In113Di<BC113>","Cd114Di<CD19>","In115Di<Blank>","La139Di<CD45>","Ce140Di<Blank>","Pr141Di<CD43>","Nd142Di<MHCII>","Nd143Di<B220>","Nd144Di<CD11a>","Nd145Di<Ly6GC>","Nd146Di<CD8>","Pm147Di<Ly6G>","Nd148Di<Ly6C>","Sm149Di<CD4>","Nd150Di<CD127>","Eu151Di<CD62L>","Sm152Di<CD11c>","Eu153Di<CD11b>","Sm154Di<CD3>","Gd155Di<CD86>","Gd156Di<BST2>","Gd157Di<CD27>","Gd158Di<Ter119>","Tb159Di<F4_80>","Gd160Di<FcER1>","Dy161Di<CD25>","Dy162Di<PDL1>","Dy163Di<PDL2>","Dy164Di<CD103>","Ho165Di<CD64>","Er166Di<CD48>","Er167Di<CD49b>","Er168Di<CD44>","Tm169Di<CD115>","Er170Di<CD38>","Yb171Di<MerTK>","Yb172Di<Sca-1>","Yb173Di<CD172>","Yb174Di<CD24>","Lu175Di<Siglec_F>","Lu176Di<CD90>","Ir191Di<DNA>","Ir193Di<DNA>","Pt195Di<Cisplatin>","Length<NA>"
"CD45+CD3-CD90-CD19- M1_10799",2.85938765686905,3.75509758733202,3.6445427845492,2.52144866233308,1.02681497727562,3.67911856527963,1.30725553356933,2.0187038571972,3.62640596556881,3.71866560116496,2.33834494118629,1.74090111941088,3.87126216739451,1.61129005893156,0.587295379353012,4.12136484489541,2.14245531408882,1.58617875759979,1.28635608053031,1.87321169428611,0.715706613928214,1.46708821401783,1.17466927163678,2.92966092940665,3.55155579879681,2.95557399468695,0.47388093487038,1.87633289387366,2.20667753016842,1.39338769944431,3.23137688368569,2.12346000263674,3.23077959490603,3.43435530207923,1.11882945046442,1.26768536014959,0.943033868243648,3.36156832889229,0.701925172979451,2.88749824236428,2.05846081091755,2.28988744021199,1.76797951812315,2.23554654110442,3.79739072064557,2.01081635740434,2.00345384814163,2.59525791238113,4.23031868084909,4.16562734587695,3.4180708676771,4.32988732431782
"CD45+CD3-CD90-CD19- M1_29601",2.60062334591416,3.77345568241085,3.5949972427371,3.78117130394504,0.69365685639827,1.01445514814226,3.75757596344942,0.602426308259305,4.11801377857173,0.675782072920462,3.0797503507426,0.566920882862172,3.96751718387047,1.26430856219681,3.00988429847874,4.07858653027381,2.62408088464544,2.64358373720152,2.77193815076095,2.49727486523048,0.395556858646344,0.526355570650491,1.09173756697962,3.1603888846123,3.36490047158126,4.23797746549223,0.372014990000071,1.76959559732295,2.81060361707384,2.11333969181619,2.78126908727323,2.9241926133744,0.290537117149368,3.61310003805406,0.789704386343119,2.60641978054597,2.51017853521786,3.26387392748509,1.73746765566206,3.12229876734353,0.660655486232977,2.57636495853417,2.18216580588055,2.36058748003539,3.71511934849749,1.2761874229388,1.71706732466388,3.46493413089132,4.27972048910936,4.40395169784094,4.19510723106511,4.32988732431782
"CD45+CD3-CD90-CD19- M1_15357",2.78519272144018,4.0544073855555,3.70920197903403,3.77011635339334,1.13762253156046,2.5641931943947,0.921556186538351,0.708686146047899,3.95749747442844,0.701527689710318,3.64860666534201,1.01584794203881,3.74662649116148,2.55569257406814,3.48865451986055,3.89000074130269,2.95059616012359,3.13853703246827,2.18789904361621,3.52763721033138,2.92714096841555,3.89889546675014,1.59287465053575,3.19222400680517,1.99667506939594,4.25773970930434,2.74233312367722,3.90019741350128,3.39186326630333,1.30940470547472,1.31116602870016,2.92537733238506,1.56901166494301,2.04769321297447,0.966308497288587,2.16805164395342,1.17000694682604,3.34180873309123,1.94676296884032,3.17936396732593,0.984297864972773,3.15087899878273,1.03046039041026,2.27766503012971,2.01452323673074,1.32939534284254,0.619880137272909,3.90659572437593,4.31415219187462,4.35816014891204,4.13000645987971,4.36294964556488
"CD45+CD3-CD90-CD19- M1_33156",3.91558534390271,3.82643584537457,3.22712958114828,3.74016789468089,2.69385388439062,1.33231283116766,0.768119974359,0.310901138901103,0.287203660552702,0.429104580191353,2.6558773901453,0.365823011094442,2.78083936612302,1.00793744162781,0.590312601123106,3.50227124658663,2.22641119190993,1.56125680436152,2.72436893410647,1.83932378923126,1.89846615457945,0.156755802756075,2.99792560737527,1.79558449264777,3.11683303834594,0.21702639068907,0.341334002965029,1.3141662496925,0.77259006333477,1.20555952416768,3.1402538511285,2.26078023738896,2.64273473596711,2.18895779970138,0.266051780788079,0.880143186912386,0.580096066977166,3.10913057584789,1.62983135175993,2.9588106296181,2.45000353737434,2.54377188306146,2.08616644293277,2.54864616026405,3.13737409502777,2.2159669011044,3.69709479081399,4.44152529750692,4.22495595147866,4.07457146648657,3.94827290803861,4.40878573419355
"CD45+CD3-CD90-CD19- M1_35312",2.1520016440112,3.83834202855156,3.7943362666549,3.33538925792148,3.48593752677558,0.281991473608263,2.14680786646624,0.680701300014587,4.10064820137645,0.551268779854218,3.13764102821777,0.503557207874723,3.39197834830386,2.75450356076773,2.47413843728213,3.38400935403559,1.26727396969046,2.13060501385064,1.40736401185211,3.59891301224369,0.204785743635605,3.07762837445524,2.43349898486897,2.594459718917,3.55485006971632,4.05191396954931,2.95020342698571,2.22717279371464,1.23718406143998,0.416939189550638,2.41832268675906,2.86548884309573,1.87681376519606,2.36362533904932,0.231079278029011,2.43050124428673,3.00447956818443,3.42963342797739,2.79368114239403,3.4032848733391,0.309977183905202,3.12338589400714,1.78873589417595,2.91445161031218,3.54295953686437,1.65938819328476,2.25348971165618,4.45559631533711,3.93473202739065,4.12549033940094,4.04660690550052,4.29363827064359
"CD45+CD3-CD90-CD19- M1_1711",3.05688338806622,4.13065769021015,4.01515597390487,3.65602064557173,3.46550841567796,3.38156709464733,2.56269683939941,3.63754535297096,0.602777636617255,1.64547436013183,2.89038628874074,2.17103598093145,3.48083927803479,1.64388431716971,2.52114875206079,3.88342460158969,2.31495065106895,1.58066716651042,0.716640383091279,3.76232771204828,1.99420656985581,2.1395710705837,2.67464226982394,1.24994389604776,3.82721072321324,1.33262217322619,1.55791874553774,2.19446218451177,2.71910392997312,1.66706020027775,2.37084581280931,2.58567660448049,1.67265179258461,1.61009854671249,0.848986718853974,2.29864115227184,2.51822237924478,3.05097423562363,1.28550203672343,2.19494505125791,1.04196767649901,0.747833086096712,0.669840153140419,1.78094570959348,3.36758333877964,0.823557043396554,1.40188507406655,2.12733143993439,4.47616435749043,4.31131618770754,4.02064788539401,4.3121408855911
"CD45+CD3-CD90-CD19- M1_19828",2.77698818248307,3.21459829104714,1.7089176508718,1.72747676131559,2.1600710356126,1.25847916380313,3.74476784914893,0.358137812037647,0.357181443607165,0.612964969481565,2.97733468469006,0.469040595069706,3.26074886869604,1.47480995642582,0.854515856906549,2.91072041901747,1.22078672869017,2.00212085752807,1.35495968564072,2.68731206203243,1.5650128471586,3.05222178903143,0.319542497686766,0.80553349427761,0.99100539823716,3.92802217895202,0.618653494642129,2.85547010270743,0.488242115964921,1.78990790963502,0.622919724400509,0.442178055347035,0.401447273304052,2.54726135619765,0.814330877957286,1.91591473868989,0.340068331575435,2.33466851881251,2.4338516051588,1.73899819017487,1.16118900061435,3.60855167437256,0.293553464366907,3.38493541257422,0.389691583661563,0.77398410921386,0.793562548627664,2.29791776404083,4.41881442088715,4.31785012082783,4.406188584649,4.32988732431782
"CD45+CD3-CD90-CD19- M1_33505",2.02116472521314,3.53911084126827,3.121763688334,2.84210370518162,2.79636645124424,1.74096801794032,3.01898326901955,4.12628776960999,4.06007304420549,0.249809519368839,3.24037407799594,1.03152764350755,3.16277506208856,2.23461444857916,1.34097276525596,2.64155405354977,0.379952255188495,2.43445322745842,1.84969670851683,2.34115838316628,2.65264789568572,3.69931646569517,0.388408315007992,2.61008233939266,3.32867257114503,3.85536518525335,3.0756540515206,2.66677837306079,0.88483439932559,1.98120010927769,2.28893577607439,2.95953001287181,0.467205049958037,2.41198614712225,1.15356269607448,2.99775933172308,3.7775240379905,3.16399977317546,0.422408754269913,2.71852925179573,1.14255856905694,3.10468183893105,2.98514979626331,2.25601695132046,3.31936062331128,1.68804863571778,1.05457365017545,4.35933907845505,3.95684763985132,4.11139874064405,4.43235556368461,4.3465289955669
"CD45+CD3-CD90-CD19- M1_20703",3.0389741095689,3.97610015995203,3.93688151683572,2.35254376443522,3.8485556945182,3.1416846767308,3.66142222181595,3.1258943248967,2.50503134348828,0.461142920829002,2.88729636509764,0.595122903522197,3.50603124113629,0.756191242144423,3.20413271677382,3.24698273217562,0.350528802786386,2.75382648427013,1.62825119454137,3.23583887142588,1.76664900340389,3.49487029950036,1.57221652898216,0.547723497064317,3.65038884751116,1.52124781409009,2.46990445816439,2.56804363159552,2.79804842094344,1.00123386871924,2.31996418561263,0.739800714522851,0.738528738351569,2.19862221561684,0.642775227490211,1.78028452818003,1.47280255143323,2.99501669638418,2.50354344838216,2.30813539311751,2.35633311748024,0.319057200466385,0.488698295016907,2.55371895032976,1.79673359650542,0.734608804867134,1.66590117223077,0.702313180925298,4.21745053628905,4.35489067784792,4.33864120848006,4.21056696536391
"CD45+CD3-CD90-CD19- M1_17143",2.34743768620418,3.70225408835256,3.47033060164542,1.36208632264683,3.7533380434757,3.46100707825521,1.03930664829521,2.44980107195637,0.328253152457405,0.603793314364226,2.8636438584579,0.689595122891442,4.08243401945176,0.26735007682356,3.03091466502159,4.06432842186767,1.74973808273402,1.7587428525078,1.61700610274592,2.61689357519129,1.98878350642472,0.3451229171798,1.40983262881543,3.36344555998845,3.27049229853382,3.54643571607896,2.47449040775062,2.33650999544524,3.05036409557878,2.04192137810931,2.52629974434545,3.07936638612768,1.15667817001232,3.31810354033356,2.52459440341015,2.03696827719338,0.790930419002467,3.24960523582317,1.6524565772724,2.85458502418166,1.95458601586366,2.9911508505587,1.027994103125,2.7794070949149,3.67234572441659,1.92456999624748,1.93783682668976,3.42837621150365,4.0594931903594,4.14175682615784,3.95474852518928,4.39403808638944
